"BehaviorSpace results (NetLogo 6.1.1)"
"FireSim.nlogo"
"FireSim"
"11/27/2020 18:49:23:436 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","map-file","person_path_weight","Medium","add-person-spacing?","equal-diagonal-weight?","display-path-cost?","Fire_Speed","Fast-Speed","Slow","people-wait?","set-fire?","Slow-Speed","People","Fast","Medium-Speed","[step]","count turtles","mean-escape-time"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","55","349","24.801324503311257"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","56","336","27.195121951219512"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","57","332","27.88095238095238"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","58","331","28.05325443786982"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","59","331","28.05325443786982"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","60","329","28.415204678362574"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","61","327","28.78034682080925"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","62","323","29.508474576271187"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","63","314","31.080645161290324"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","64","314","31.080645161290324"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","65","313","31.25668449197861"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","66","302","33.13131313131313"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","67","301","33.2964824120603"
"1","blank.map","2","0","true","true","true","50","0.8","33","true","false","0.1","500","0","0.4","68","301","33.2964824120603"
